param liczba_scenariuszy := 20;

param koszt_dodatkowego_mw_w_scenariuszu: 
	T1 			T2 			T3 		:=
1 	2.369744	3.781256	1.134698
2 	2.671612	1.698941	3.376572
3 	3.028807	1.835408	1.082993
4 	1.196862	4.067011	4.231993
5 	1.739105	3.939888	4.195082
6 	2.501709	4.066995	3.155628
7 	3.141466	1.59192		2.208476
8 	1.818797	2.570719	1.297639
9 	2.993546	1.095394	3.085584
10 	3.357736	2.739784	1.07475
11 	1.407987	3.216315	4.347164
12 	3.270016	1.538706	2.816424
13 	1.647553	1.986992	4.657482
14 	2.483091	3.131922	2.014171
15 	1.185872	1.180437	4.595698
16 	1.473179	3.57896		4.572123
17 	2.495116	3.223201	1.29961
18 	2.823727	2.738796	2.644879
19 	3.029102	3.823621	2.845036
20 	1.125071	3.88805		2.272419
;
